bike_name,price,city,kms_driven,owner,age,power,brand
191,240,2,179,1,7,11,10
192,22,10,149,1,10,5,7
2,241,29,270,1,2,2,2
35,113,12,98,1,12,2,2
11,59,3,271,1,5,5,4
43,129,1,272,1,10,11,5
100,242,2,273,1,1,5,4
193,243,40,37,1,5,11,6
74,5,49,229,1,1,5,4
75,244,10,274,2,5,8,2
66,226,49,275,1,2,5,7
28,53,53,276,1,4,14,10
194,245,1,277,1,10,7,7
195,246,2,24,1,1,4,7
13,247,2,250,1,1,10,7
196,57,2,83,1,10,1,1
79,248,87,278,1,4,23,9
87,249,4,279,1,5,25,15
42,181,2,103,1,6,6,1
176,39,46,280,1,6,5,7
167,250,60,76,1,1,5,8
2,61,3,215,1,2,2,2
55,251,2,11,1,10,4,7
30,9,3,24,1,2,10,10
28,252,4,186,1,4,14,10
87,167,2,104,1,6,25,15
2,137,53,11,1,4,2,2
156,60,4,34,1,1,34,17
35,253,2,11,1,4,2,2
81,43,2,76,1,5,7,6
69,254,11,281,1,1,14,10
28,53,4,44,1,6,14,10
31,39,4,87,2,4,5,5
133,33,12,201,1,5,8,2
197,152,88,282,1,3,5,5
171,49,4,283,1,2,5,4
25,255,11,284,1,11,5,7
145,77,89,6,1,6,6,5
198,256,8,78,1,1,17,12
199,243,10,285,1,2,7,7
200,257,70,286,1,2,38,9
43,139,2,287,1,4,11,5
69,258,11,78,1,2,14,10
2,16,2,288,1,3,2,2
102,102,4,226,1,6,10,10
201,259,10,289,1,11,5,5
34,29,4,2,1,5,2,2
18,181,2,268,1,4,5,8
82,126,11,290,2,3,7,6
76,201,90,291,2,3,17,14
172,260,2,292,1,7,6,1
21,261,4,293,1,10,8,2
82,179,66,26,1,5,7,6
69,82,8,294,1,1,14,10
176,226,2,123,1,6,5,7
62,8,2,295,1,5,13,7
81,152,62,250,1,6,7,6
202,262,1,39,1,1,15,9
30,263,11,296,1,6,10,10
24,264,91,297,1,10,11,5
76,265,13,104,1,4,17,14
203,102,2,298,1,5,9,14
