brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ssd,hdd,os,os_bit,graphic_card_gb,Price,Number of Ratings,Number of Reviews
5,0,1,2,2,1,1,0,0,0,70090,5,1
0,0,1,0,1,1,1,0,0,1,49990,45,3
6,0,1,2,1,1,1,0,0,0,55490,8,1
4,0,1,2,1,1,1,0,0,0,97990,3,1
0,0,1,5,1,1,1,0,0,2,54990,1681,227
1,0,1,2,1,1,1,0,0,0,59990,37,2
1,0,1,2,1,1,1,0,0,0,53990,61,2
4,0,1,2,2,1,1,0,0,0,66999,17,1
2,0,1,2,1,1,1,0,0,0,60990,17,1
0,0,1,0,1,1,1,0,0,0,47990,1625,152
4,0,1,2,1,1,1,0,1,0,59999,4,1
5,0,1,0,2,1,1,0,0,2,79990,0,0
0,0,1,0,1,1,1,0,0,2,63990,0,0
4,0,1,2,1,1,1,0,0,0,63990,17,1
0,0,1,2,2,1,1,0,0,0,59990,0,0
1,0,1,2,1,1,1,0,0,0,55990,0,0
4,0,1,2,1,1,1,0,0,0,63990,3,0
5,0,1,2,2,1,1,0,0,1,69490,0,0
5,0,1,2,2,1,1,0,0,0,89390,0,0
0,0,1,2,1,1,1,0,0,0,74990,0,0
1,0,1,2,1,1,1,0,0,0,64990,48,12
1,0,1,0,1,1,1,0,0,2,66490,282,36
5,0,1,2,2,1,1,0,0,1,89702,0,0
1,0,1,2,2,1,1,0,0,1,70990,67,4
0,0,1,2,2,1,1,0,0,0,58990,0,0
1,0,1,0,1,1,1,0,0,1,57500,0,0
5,0,1,2,1,1,1,0,0,1,79990,23,2
6,0,1,0,1,1,1,0,0,0,56541,677,87
0,0,1,2,2,1,1,0,0,0,59990,3,0
1,0,1,2,2,1,1,0,0,0,64990,46,4
5,0,1,2,1,1,1,0,0,0,61290,4,1
1,0,1,2,1,1,1,0,0,0,54990,9,1
1,0,1,2,1,1,1,0,0,0,59990,26,4
0,0,1,2,1,1,1,0,1,3,84990,5,0
4,0,1,2,1,1,1,0,0,0,72500,40,3
1,0,1,2,1,1,1,0,0,2,59990,44,6
1,0,1,2,1,1,1,0,0,0,87990,28,6
4,0,1,2,1,1,1,0,0,0,57990,1541,123
5,0,1,2,1,1,1,0,0,0,69490,72,7
1,0,1,2,1,1,1,0,0,0,68990,44,8
1,0,1,2,1,1,1,0,1,0,77990,17,2
0,0,1,2,1,1,1,0,0,0,105990,59,11
6,0,1,2,1,1,1,0,0,0,79990,0,0
5,0,1,2,1,1,1,0,0,0,55490,337,27
1,0,1,2,1,1,1,0,0,0,69990,10,2
0,0,1,2,1,1,1,0,0,0,84990,10,2
5,0,1,2,1,1,1,0,0,0,59990,31,7
5,0,1,0,1,1,1,0,0,0,111890,0,0
5,0,1,2,1,1,1,0,0,1,65990,10,0
0,0,1,2,1,1,1,0,1,0,72990,76,14
5,0,1,2,1,1,1,0,0,0,71090,44,6
6,0,1,2,1,1,1,0,0,2,74990,0,0
0,0,1,0,1,1,1,0,0,0,79990,11,3
6,0,1,2,1,1,1,0,0,0,55490,138,16
5,0,1,2,1,1,1,0,0,1,66490,199,17
0,0,1,2,1,1,1,0,0,0,53400,46,6
5,0,1,2,1,1,1,0,0,0,74500,45,5
5,0,1,2,1,1,1,0,0,0,114990,0,0
5,0,1,2,1,1,1,0,0,1,61990,35,4
7,0,1,0,1,1,1,2,0,0,159990,32,5
7,0,1,4,1,1,1,2,0,0,172090,108,13
6,0,1,2,1,1,1,0,0,2,74990,0,0
6,0,1,0,1,1,1,0,0,0,56490,814,112
1,0,1,0,1,1,1,0,0,0,147000,0,0
1,0,1,2,1,1,1,0,0,0,55990,75,9
4,0,1,2,1,1,1,0,0,2,77990,0,0
4,0,1,0,1,1,1,0,0,2,106490,3,0
1,0,1,2,1,1,1,0,1,1,70990,11,3
1,0,1,2,1,1,1,0,0,0,64990,125,11
2,0,1,2,1,1,1,0,0,0,57990,0,0
0,0,1,0,1,1,1,0,0,2,64990,4,0
6,0,1,0,1,1,1,0,0,0,54990,714,147
4,0,1,2,1,1,1,0,0,0,111999,0,0
1,0,1,0,1,1,1,0,0,1,70798,21,3
1,0,1,5,1,1,1,0,0,2,59990,9,1
2,0,1,4,1,1,1,0,0,2,99500,0,0
4,0,1,0,1,1,1,0,0,0,55990,30,4
0,0,1,4,1,1,1,0,0,0,72990,44,4
2,0,1,4,1,1,1,0,0,0,64990,4,1
0,0,1,2,1,1,1,0,0,0,57990,0,0
4,0,1,2,1,1,1,0,0,1,76990,14,2
1,0,1,2,1,1,1,0,0,0,62998,739,71
5,0,1,2,1,1,1,0,0,0,77990,31,5
4,0,1,0,1,1,1,0,0,0,114990,145,19
5,0,1,0,1,1,1,0,0,1,65990,0,0
5,0,1,2,1,1,1,0,0,1,88990,19,2
1,0,1,0,1,1,1,0,0,0,113590,0,0
0,0,1,2,1,1,1,0,0,0,73990,32,6
4,0,1,2,1,1,1,0,0,0,61000,1124,100
0,0,1,2,1,1,1,0,0,0,99990,35,6
1,0,1,2,1,1,1,0,0,0,67990,9,0
5,0,1,2,1,1,1,0,0,0,70799,98,6
1,0,1,2,1,1,1,0,0,0,65990,31,2
0,0,1,4,1,1,1,0,0,0,53690,19,3
6,0,1,2,1,1,1,0,0,0,55990,0,0
0,0,1,2,1,1,1,0,0,0,53190,11,0
1,0,1,0,1,1,1,0,1,1,58999,45,3
5,0,1,2,1,1,1,0,0,1,71990,0,0
4,0,1,2,1,1,1,0,1,2,82000,0,0
0,0,1,2,1,1,1,0,0,0,84990,0,0
1,0,1,2,1,1,1,0,0,1,89998,0,0
0,0,1,2,1,1,1,0,0,0,99990,0,0
1,0,1,0,1,1,1,0,0,2,69899,474,37
5,0,1,0,1,1,1,0,0,2,79990,0,0
5,0,1,0,1,1,1,0,0,2,76300,6,0
1,0,1,0,1,1,1,0,0,0,55999,0,0
5,0,1,2,1,1,1,0,0,0,72900,24,4
